,accepted,date,groupNm,lat,limit,lon,place,title,waiting
17,69,2012-01-20,ありえるえりあ勉強会,35.671180000000,96.0,139.739261000000,赤坂溜池タワー13F 株式会社ワークスアプリケーションズ セミナールーム,['第八回ありえるえりあ勉強会 ～PyPyのキホンの気'],0
18,13,2012-02-03,Python mini Hack-a-thon,36.553117300000,13.0,138.349743600000,ペンション マウンテンパパ,['Python mini hack-a-thon 雪山合宿 2012'],0
19,30,2012-02-14,エキスパートPythonプログラミング読書会 第二期,35.634436400000,30.0,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 04'],0
20,5,2012-02-14, ,35.691152300000,20.0,139.727305400000,タイムインターメディア 会議室(2F),['裏エキスパートPythonプログラミング読書会 第二期 04'],0
21,10,2012-02-15,Python ボルダリング部,35.699858000000,,139.768019100000,B-PUMP Tokyo 秋葉原,['Python ボルダリング部 #3'],0
22,37,2012-02-24,BPStudy,35.682438700000,50.0,139.701713900000,代々木研修室 国際英語学校代々木教会ビル会場,['BPStudy#54'],0
23,3,2012-03-10, ,33.592343300000,4.0,130.399910000000,ノマドクロス天神,['javaでデザインパターンを書いて手を動かそう#1'],0
24,4,2012-03-24, ,33.592343300000,8.0,130.399910000000,ノマドクロス天神,['javaでデザインパターンを書いて手を動かそう#2'],0
25,8,2012-03-01,#83py,35.691840100000,10.0,139.695542000000,月の蔵,['#83py part 1'],0
26,10,2012-03-09,Python ボルダリング部,35.699858000000,,139.768019100000,B-PUMP Tokyo 秋葉原,['Python ボルダリング部 #4'],0
27,29,2012-03-13,エキスパートPythonプログラミング読書会 第二期,35.634436400000,30.0,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 04'],0
28,5,2012-03-17, ,35.671237700000,,139.718651700000,"オラクル青山センター 13F S3,4,5,6 ",['横浜.py #pyfes 出張編'],0
29,28,2012-03-24,Python mini Hack-a-thon,35.666164600000,30.0,139.746801400000,アリエル・ネットワーク 会議室,['(第17回)Python mini Hack-a-thon'],0
30,6,2012-04-23,Python ボルダリング部,35.699858000000,,139.768019100000,B-PUMP Tokyo 秋葉原,['Python ボルダリング部 #6'],0
31,12,2012-04-04,Python ボルダリング部,35.699858000000,,139.768019100000,B-PUMP Tokyo 秋葉原,['Python ボルダリング部 #5'],0
32,7,2012-04-07, ,33.592343300000,10.0,130.399910000000,ノマドクロス天神,['javaでデザインパターンを書いて手を動かそう#3'],0
33,19,2012-04-10,エキスパートPythonプログラミング読書会 第二期,35.634436400000,30.0,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 05'],0
34,0,2012-04-10, ,33.594348700000,,130.403729100000,nulab,['Pythonチュートリアル読書会 vol.4'],0
35,27,2012-04-14,Python mini Hack-a-thon,35.666164600000,30.0,139.746801400000,アリエル・ネットワーク 会議室,['(第18回)Python mini Hack-a-thon'],0
36,44,2012-04-27,BPStudy,35.692754000000,60.0,139.698183300000,ハロー貸会議室 新宿,['BPStudy#57'],0
37,6,2012-04-28, ,33.592343300000,11.0,130.399910000000,ノマドクロス天神,['javaでデザインパターンを書いて手を動かそう#4'],0
38,33,2012-04-28,hbstudy,35.692772800000,40.0,139.698177300000,ハロー会議室 新宿(A),['hbstudy #33'],0
39,9,2012-05-22,Python ボルダリング部,35.699858000000,,139.768019100000,B-PUMP Tokyo 秋葉原,['Python ボルダリング部 #7'],0
